ID,order,mle,beta,gammaPlus,a0,m0,pBurst_1,pBurst_2,threshold
S3_575,4,43.7,0.282,0.214,5475.259,624139.496,0.00877249,0.00877249,1810
S3_576,4,52.328,0.201,2.65,66313.121,678872.531,0.09768126,0.09768126,1811
S3_577,4,59.279,0.083,0.181,1170.824,442506.540,0.00264589,0.00264589,1812
S3_578,4,51.446,0.198,0.149,2907.018,929776.480,0.00312658,0.00312658,1813
S3_579,4,50.514,0.139,0.795,10043.830,907602.118,0.01106634,0.01106634,1814
S3_580,4,44.506,0.073,4.908,52926.506,1000000.000,0.05292651,0.05292651,1815
S3_581,4,53.494,0.094,5,70276.468,999999.999,0.07027647,0.07027647,1816
S3_582,4,77.447,0.048,4.92,46918.473,1000000.000,0.04691847,0.04691847,1817
S3_583,4,49.664,0.126,0.172,638.781,192334.977,0.00332119,0.00332119,1818
S3_584,4,47.053,0.223,0.185,3851.334,999999.748,0.00385133,0.00385133,1819
S3_585,4,42.867,0.23,0.566,3497.659,333698.931,0.01048148,0.01048148,1820
S3_586,4,41.823,0.228,5,86677.930,999595.025,0.08671305,0.08671305,1821
S3_587,4,40.627,0.166,1.13,2441.172,143022.487,0.01706845,0.01706845,1822
S3_588,4,49.269,0.106,0.211,2730.434,991999.525,0.00275245,0.00275245,1823
S3_589,4,44.091,0.185,3.532,7231.711,93415.075,0.07741482,0.07741482,1824
S3_590,4,50.064,0.118,4.926,87381.497,1000000.000,0.08738150,0.08738150,1825
S3_591,4,38.562,0.4,5,121312.028,994658.151,0.12196354,0.12196354,1826
S3_592,4,49.59,0.03,3.197,16446.834,880416.324,0.01868075,0.01868075,1827
S3_700,4,45.505,0.077,2.836,24647.979,838359.409,0.02940025,0.02940025,1828
S3_701,4,43.16,0.385,0.005,192.078,760898.590,0.00025244,0.00025244,1829
S3_702,4,52.496,0.389,4.993,192543.432,1000000.000,0.19254343,0.19254343,1830
S3_703,4,42.564,0.098,1.177,1998.866,150047.998,0.01332151,0.01332151,1831
S3_704,4,53.306,0.086,5,57408.693,955202.698,0.06010106,0.06010106,1832
S3_705,4,40.9,0.169,0.184,3173.248,939742.819,0.00337672,0.00337672,1833
S3_706,4,55.835,0.109,4.292,68699.299,1000000.000,0.06869930,0.06869930,1834
S3_707,4,54.143,0.043,0.997,4021.016,630130.742,0.00638124,0.00638124,1835
S3_708,4,45.687,0.237,1.852,10188.597,276315.020,0.03687312,0.03687312,1836
S3_709,4,71.147,0.034,5,33511.449,999999.590,0.03351146,0.03351146,1837
S3_710,4,57.467,0.079,4.999,47740.748,865684.823,0.05514796,0.05514796,1838
S3_711,4,56.539,0.057,5,40245.396,999572.276,0.04026262,0.04026262,1839
S3_712,4,42.98,0.121,5,66615.978,990775.700,0.06723618,0.06723618,1840
S3_713,4,56.742,0.154,0.66,13865.938,930836.210,0.01489622,0.01489622,1841
S3_714,4,35.812,0.32,0.216,4037.881,834834.818,0.00483674,0.00483674,1842
S3_715,4,45.439,0.259,0.081,712.554,337074.345,0.00211394,0.00211394,1843
S3_716,4,50.601,0.057,4.997,51392.180,999999.998,0.05139218,0.05139218,1844
S3_717,4,40.831,0.207,0.066,1315.109,933662.236,0.00140855,0.00140855,1845
S3_718,4,44.503,0.187,4.991,86194.074,999998.990,0.08619416,0.08619416,1846
S3_719,4,52.811,0.163,0.093,1010.879,548769.305,0.00184208,0.00184208,1847
S3_720,4,48.936,0.156,0.249,1456.153,382386.716,0.00380806,0.00380806,1848
S3_721,4,52.355,0.122,4.992,82545.901,1000000.000,0.08254590,0.08254590,1849
S3_722,4,44.598,0.194,0.133,3407.108,806685.824,0.00422359,0.00422359,1850
S3_723,4,39.385,0.188,4.931,84837.075,1000000.000,0.08483708,0.08483708,1851
S3_724,4,38.274,0.192,5,92748.269,997832.625,0.09294973,0.09294973,1852
S3_725,4,43.199,0.118,5,78132.541,997103.967,0.07835947,0.07835947,1853
S3_726,4,50.023,0.13,5,94503.159,995496.986,0.09493063,0.09493063,1854
S3_727,4,52.415,0.163,0.118,1287.076,511516.978,0.00251619,0.00251619,1855
S3_728,4,40.205,0.247,0.648,11352.237,911426.950,0.01245545,0.01245545,1856
S3_729,4,43.155,0.157,5,103376.705,988659.603,0.10456249,0.10456249,1857
S3_730,4,53.743,0.106,4.237,67310.776,1000000.000,0.06731078,0.06731078,1858
S3_731,4,51.921,0.086,5,64944.772,985547.539,0.06589715,0.06589715,1859
S3_732,4,51.179,0.151,5,126068.598,999569.818,0.12612285,0.12612285,1860
S3_733,4,42.42,0.286,0.131,2918.257,864896.081,0.00337411,0.00337411,1861
S3_734,4,49.453,0.229,4.892,74898.084,1000000.000,0.07489808,0.07489808,1862
S3_735,4,53.615,0.08,5,58475.244,999988.661,0.05847591,0.05847591,1863
S3_736,4,49.543,0.047,1.338,8360.763,857632.837,0.00974865,0.00974865,1864
S3_737,4,65.194,0.002,0.793,262.007,727534.182,0.00036013,0.00036013,1865
S3_738,4,62.634,0.062,5,55389.610,999269.497,0.05543010,0.05543010,1866
S3_739,4,43.328,0.138,0.16,1417.891,497369.365,0.00285078,0.00285078,1867
S3_740,4,49.707,0.129,5,91971.207,1000000.000,0.09197121,0.09197121,1868
S3_741,4,50.611,0.059,4.526,49240.976,1000000.000,0.04924098,0.04924098,1869
S3_742,4,56.035,0.228,0.157,3253.078,1000000.000,0.00325308,0.00325308,1870
S3_743,4,47.874,0.162,5,106626.943,1000000.000,0.10662694,0.10662694,1871
S3_744,4,44.09,0.265,5,99355.948,999540.062,0.09940167,0.09940167,1872
S3_745,4,43.532,0.083,4.997,68445.620,999999.994,0.06844562,0.06844562,1873
S3_746,4,44.04,0.146,5,69827.652,961823.195,0.07259926,0.07259926,1874
S3_746_x,4,31.095,0.472,5,107866.915,999175.951,0.10795588,0.10795588,1875
S3_748,4,65.25,0.086,0.084,780.981,762627.612,0.00102407,0.00102407,1876
S3_749,4,60.495,0.066,5,52890.028,994552.242,0.05317974,0.05317974,1877
S3_750,4,42.043,0.251,0.003,128.724,991222.450,0.00012986,0.00012986,1878
S3_751,4,52.337,0.117,4.476,75906.406,1000000.000,0.07590641,0.07590641,1879
S3_752,4,46.659,0.141,0.055,748.703,902547.612,0.00082954,0.00082954,1880
S3_753,4,27.429,0.215,2.792,1112.301,31939.521,0.03482522,0.03482522,1881
S3_754,4,46.238,0.24,0.145,2728.613,998873.535,0.00273169,0.00273169,1882
S3_755,4,50.532,0.15,0.802,9499.461,596952.529,0.01591326,0.01591326,1883
S3_756,4,51.912,0.263,5,112735.349,999297.471,0.11281460,0.11281460,1884
S3_757,4,53.908,0.139,0.098,1576.431,995808.855,0.00158307,0.00158307,1885
S3_758,4,40.76,0.427,1.117,42434.146,935020.196,0.04538313,0.04538313,1886
S3_759,4,40.924,0.065,0.041,277.683,794181.301,0.00034965,0.00034965,1887
S3_760,4,40.546,0.141,5,65194.567,995656.881,0.06547895,0.06547895,1888
S3_761,4,43.061,0.16,4.997,59177.195,988443.320,0.05986908,0.05986908,1889
S3_762,4,50.662,0.108,4.997,80687.282,1000000.000,0.08068728,0.08068728,1890
S3_763,4,27.387,0.7,3.03,82932.290,595087.569,0.13936149,0.13936149,1891
S3_764,4,36.03,0.335,0.043,820.443,701917.552,0.00116886,0.00116886,1892
S3_765,4,57.007,0.091,4.971,68927.503,1000000.000,0.06892750,0.06892750,1893
S3_766,4,57.07,0.08,4.998,62003.979,999242.847,0.06205096,0.06205096,1894
S3_767,4,49.502,0.077,0.324,1875.786,490014.415,0.00382802,0.00382802,1895
S3_768,4,37.959,0.136,0.44,3946.073,639969.150,0.00616604,0.00616604,1896
S3_769,4,44.718,0.275,5,140528.451,853128.638,0.16472129,0.16472129,1897
S3_770,4,54.338,0.109,0.447,7006.326,873861.450,0.00801766,0.00801766,1898
S3_771,4,20.93,0.311,4.304,45838.779,724754.613,0.06324731,0.06324731,1899
S3_772,4,50.08,0.058,0.026,292.056,947912.820,0.00030810,0.00030810,1900
S3_773,4,59.225,0.068,5,62084.857,1000000.000,0.06208486,0.06208486,1901
