ID,experimentClass,trialNumber,completionDateTime,startDateTime,startDateNb,startSecsNb,nbPumps,isCollected,isExploded,lastTrialTime,order,trialOrder
S1_1001,BalloonInflate,17,17735.653937488427,17735.65387871528,17735,56495.121,22,1,0,0.885,4,77
S1_1001,BalloonInflate,18,17735.6540153125,17735.653948877316,17735,56501.183,23,1,0,0.873,4,78
S1_1001,BalloonInflate,19,17735.6540946875,17735.654027638888,17735,56507.988,22,1,0,0.873,4,79
S1_1001,BalloonInflate,20,17735.654170289352,17735.654113738427,17735,56515.427,20,1,0,1.074,4,80
S1_1002,BodyInflate,1,17735.646318564814,17735.6460984375,17735,55822.905,60,1,0,1.899,1,1
S1_1002,BodyInflate,2,17735.64643234954,17735.646345520832,17735,55844.253,43,0,1,NA,1,2
S1_1002,BodyInflate,3,17735.646617465278,17735.646475104168,17735,55855.449,50,1,0,1.417,1,3
S1_1002,BodyInflate,4,17735.646733842594,17735.64663415509,17735,55869.191,45,0,1,NA,1,4
S1_1002,BodyInflate,5,17735.646885381946,17735.646776805555,17735,55881.516,42,1,0,1.373,1,5
S1_1002,BodyInflate,6,17735.646977175926,17735.646900497686,17735,55892.203,39,0,1,NA,1,6
S1_1002,BodyInflate,7,17735.647065810186,17735.64701533565,17735,55902.125,25,0,1,NA,1,7
S1_1002,BodyInflate,8,17735.647162627316,17735.64710025463,17735,55909.462,22,1,0,1.08,1,8
S1_1002,BodyInflate,9,17735.64728173611,17735.647181412038,17735,55916.474,30,1,0,1.239,1,9
S1_1002,BodyInflate,10,17735.647320162036,17735.647298541666,17735,55926.594,12,0,1,NA,1,10
S1_1002,BodyInflate,11,17735.64745087963,17735.64736023148,17735,55931.924,30,1,0,1.561,1,11
S1_1002,BodyInflate,12,17735.647569560184,17735.647464583333,17735,55940.94,40,1,0,1.436,1,12
S1_1002,BodyInflate,13,17735.647717881944,17735.647582743055,17735,55951.149,46,1,0,1.197,1,13
S1_1002,BodyInflate,14,17735.64784494213,17735.64773935185,17735,55964.68,40,1,0,1.225,1,14
S1_1002,BodyInflate,15,17735.647980590278,17735.647860324076,17735,55975.132,46,1,0,1.841,1,15
S1_1002,BodyInflate,16,17735.64810804398,17735.64799462963,17735,55986.736,42,1,0,1.348,1,16
S1_1002,BodyInflate,17,17735.648254479165,17735.648123368057,17735,55997.859,50,1,0,1.778,1,17
S1_1002,BodyInflate,18,17735.648448136573,17735.64826939815,17735,56010.476,60,1,0,1.409,1,18
S1_1002,BodyInflate,19,17735.64858429398,17735.648466215276,17735,56027.481,42,1,0,1.237,1,19
S1_1002,BodyInflate,20,17735.64875627315,17735.648609386575,17735,56039.851,60,1,0,1.58,1,20
S1_1002,BodyDeflate,1,17735.64896486111,17735.648847291668,17735,56060.406,40,1,0,1.301,2,21
S1_1002,BodyDeflate,2,17735.649109502316,17735.648981145834,17735,56071.971,48,1,0,2.393,2,22
S1_1002,BodyDeflate,3,17735.649209421295,17735.649124108797,17735,56084.323,40,0,1,NA,2,23
S1_1002,BodyDeflate,4,17735.64932087963,17735.649240960647,17735,56094.419,30,1,0,1.353,2,24
S1_1002,BodyDeflate,5,17735.649421388887,17735.649334722224,17735,56102.52,32,1,0,1.089,2,25
S1_1002,BodyDeflate,6,17735.649505208334,17735.649441597223,17735,56111.754,29,0,1,NA,2,26
S1_1002,BodyDeflate,7,17735.649608738426,17735.64953320602,17735,56119.669,26,0,1,NA,2,27
S1_1002,BodyDeflate,8,17735.64969238426,17735.649633587964,17735,56128.342,20,1,0,1.084,2,28
S1_1002,BodyDeflate,9,17735.649772962963,17735.649703020834,17735,56134.341,24,1,0,1.259,2,29
S1_1002,BodyDeflate,10,17735.6498421875,17735.649780949076,17735,56141.074,23,0,1,NA,2,30
S1_1002,BodyDeflate,11,17735.64993133102,17735.64987349537,17735,56149.07,22,1,0,1.12,2,31
S1_1002,BodyDeflate,12,17735.64995548611,17735.64994454861,17735,56155.209,8,0,1,NA,2,32
S1_1002,BodyDeflate,13,17735.650048171297,17735.64998625,17735,56158.812,22,1,0,2.047,2,33
S1_1002,BodyDeflate,14,17735.650079837964,17735.65006,17735,56165.184,12,0,1,NA,2,34
S1_1002,BodyDeflate,15,17735.65013034722,17735.650116539353,17735,56170.069,9,0,1,NA,2,35
S1_1002,BodyDeflate,16,17735.650204027777,17735.65016255787,17735,56174.045,12,1,0,1.269,2,36
S1_1002,BodyDeflate,17,17735.650282824074,17735.650214699075,17735,56178.55,20,1,0,1.198,2,37
