ID,order,TotalMLE,mle,pBurst_1,pBurst_2,pExpl_1,pExpl_2,threshold,sdAvgLastTime_1,sdAvgLastTime_2,avgLastTime_1,avgLastTime_2,avgPumps_1,avgPumps_2,sdPumps_1,sdPumps_2,nbCollected_1,nbCollected_2,gammaPlus,beta
S5_67,3,272.8791,72.7672,0.033333,0.020349,0,0.052632,1,NA,0.140287,0.683,0.838,29,30.473684,NA,20.857635,1,14,1,0.17
S5_67,4,272.8791,68.4557,0.018519,0.034483,0.044118,0,18,0.248429,0.280014,0.8725,1.158,27.777778,28,22.086875,11.313708,12,2,1,0.17
S5_68,1,275.5953,69.7317,0.047619,0.065574,0.08,0,12,0.720686,0.2582,1.4894,1.215375,14.583333,14.25,7.440165,3.058945,10,8,1,0.17
S5_68,2,275.5953,77.7537,0.030303,0.040323,0.046512,0,10,0.103759,0.192806,1.141,0.8666,21.3,23.8,12.165982,3.88158,8,10,1,0.17
S5_68,3,275.5953,65.2256,0.03653,0.055556,0.085106,0,12,0.208278,0.241432,1.083,0.75075,13.666667,17,10.421423,4.407785,8,8,1,0.17
S5_68,4,275.5953,62.8843,0.041916,0.022727,0.081081,0.086957,17,0.180363,NA,0.626,0.883,16.647059,6.666667,8.00735,11.547005,14,1,1,0.17
S5_69,1,213.3037,59.7226,0.007812,0.01676,0.020566,0.026316,13,0.273686,0.365463,1.3846,1.085167,18.923077,44.857143,29.761445,22.146697,5,6,1,0.17
S5_69,2,213.3037,48.8702,0.015306,0.010417,0.043478,0.027211,6,0.253442,0.258627,1.001,1.0285,20.666667,19.714286,26.583203,26.566111,3,6,1,0.17
S5_69,3,213.3037,54.9003,0.005682,0.020576,0.034722,0.038095,6,NA,0.258791,1.4,1.0459,5.166667,26.5,12.655697,21.38925,1,10,1,0.17
S5_69,4,213.3037,49.8106,0.015385,0.022222,0.07563,0.058824,14,0.094318,0.310074,1.0174,0.99,14.357143,33.833333,21.64613,23.025348,5,5,1,0.17
S5_7,1,233.7944,55.5317,0.105263,0.030726,0.333333,0.05,3,0.145664,0.180662,0.662,0.629727,4.666667,17.8,4.163332,13.017571,2,11,1,0.17
S5_7,2,233.7944,59.8283,0.045113,0.032129,0.086957,0.071429,8,0.145174,0.176066,0.7065,0.648375,13,21.3,10.447146,11.614646,6,8,1,0.17
