ID,order,TotalMLE,mle,pBurst_1,pExpl_1,sdAvgLastTime_1,avgLastTime_1
S2_224,2,119.9905,54.0421,0.019784,0.072,0.290973,1.454545
S2_225,1,104.7985,64.2248,0.060284,0.046875,0.591744,1.561588
S2_225,2,104.7985,40.5737,0.029508,0.042553,0.442937,1.261778
S2_226,1,130.9861,61.7433,0.023256,0.037037,4.138757,3.060846
S2_226,2,130.9861,69.2428,0.035242,0.032258,0.229204,1.400812
S2_227,1,114.2253,59.4677,0.012128,0.022613,0.261208,1.290818
S2_227,2,114.2253,54.7576,0.01855,0.04,0.327653,1.134455
S2_229,1,129.7633,63.2941,0.020668,0.033149,0.561763,2.092308
S2_229,2,129.7633,66.4692,0.023295,0.047619,0.453814,1.938429
S2_230,1,119.4699,51.4629,0.015699,0.032051,0.372629,1.8019
S2_230,2,119.4699,68.007,0.014428,0.02439,0.38406,1.492308
S2_231,1,105.9532,55.6642,0.010341,0.025974,1.598257,2.524
S2_231,2,105.9532,50.289,0.017637,0.046729,0.759855,2.1995
S2_232,1,105.0483,53.7449,0.012516,0.027356,0.691388,2.0229
S2_232,2,105.0483,51.3034,0.015949,0.035336,1.547152,1.9939
S2_233,1,111.1914,49.9268,0.010539,0.026895,0.605316,1.672889
S2_233,2,111.1914,61.2646,0.016349,0.04,0.223689,1.333083
S2_300,1,111.7736,56.1406,0.024948,0.073394,0.199659,1.358
S2_300,2,111.7736,55.633,0.010373,0.025397,0.711329,1.5925
S2_301,1,63.296,34.591,0.019231,0.026455,0.995497,1.797857
S2_301,2,63.296,28.705,0.022472,0.03876,1.267671,2.113
S2_302,1,122.5632,52.5702,0.014065,0.034364,0.731611,1.9203
S2_302,2,122.5632,69.993,0.018158,0.046512,0.347736,1.733429
S2_303,1,2057.7119,2000,0.000782,0.015472,NA,19.152
S2_303,2,2057.7119,57.7119,0.014212,0.024752,0.531765,1.906909
S2_304,1,110.4979,49.2333,0.011378,0.028424,1.390447,3.027333
S2_304,2,110.4979,61.2646,0.016349,0.031621,0.305875,1.557167
S2_305,1,82.2006,36.0707,0.097345,0.153846,0.606771,1.983727
S2_305,2,82.2006,46.1299,0.09589,0.157895,1.079373,2.205143
S2_306,1,124.1348,59.9919,0.011567,0.022613,4.267695,4.339545
S2_306,2,124.1348,64.1429,0.019374,0.036458,1.026838,1.802769
S2_307,1,81.5382,42.593,0.013158,0.020134,0.613229,1.6885
S2_307,2,81.5382,38.9452,0.01037,0.032864,0.794434,2.012857
S2_308,1,139.8926,69.734,0.018494,0.029762,0.593942,1.717786
S2_308,2,139.8926,70.1586,0.012241,0.028708,0.239165,1.411
S2_309,1,113.0518,54.3911,0.011737,0.025316,1.212338,2.4486
S2_309,2,113.0518,58.6607,0.02027,0.028436,2.113437,1.970083
S2_310,1,122.1187,48.5617,0.032353,0.095238,0.451539,1.434909
S2_310,2,122.1187,73.557,0.03527,0.081081,0.422291,1.437412
S2_311,1,111.6325,54.2401,0.019435,0.034146,0.76624,2.659636
S2_311,2,111.6325,57.3924,0.014628,0.0301,0.578504,2.533182
S2_312,1,105.9401,47.9532,0.034161,0.065934,0.53516,1.996091
S2_312,2,105.9401,57.9869,0.021429,0.039024,0.618215,1.751583
S2_313,1,115.2021,56.9049,0.045603,0.065789,0.568629,1.849714
S2_313,2,115.2021,58.2972,0.01348,0.03,0.862605,1.903727
S2_314,1,136.5019,60.7079,0.017118,0.033493,1.568652,2.54425
S2_314,2,136.5019,75.794,0.017222,0.028571,0.392218,1.672267
S2_315,1,115.4985,58.5992,0.020374,0.043165,1.277854,1.824333
S2_315,2,115.4985,56.8993,0.023438,0.04023,2.580219,2.824333
S2_316,1,97.2289,52.2543,0.159664,0,0.761921,1.569579
S2_316,2,97.2289,44.9746,0.103704,0.190476,1.999892,2.251714
S2_317,1,58.2812,53.3204,0.013055,0.021834,0.489004,1.7923
S2_317,2,58.2812,4.9608,0.018868,0.027027,NA,2.21
S2_318,1,133.1335,67.8507,0.02907,0.033333,0.163629,1.286333
S2_318,2,133.1335,65.2828,0.034404,0.070423,0.122282,1.169333
S2_319,1,119.6614,57.5651,0.071749,0.117647,0.41958,1.523875
S2_319,2,119.6614,62.0963,0.042373,0.083333,0.527103,1.387667
S2_320,1,131.74,58.798,0.029083,0.048611,0.220703,1.492692
S2_320,2,131.74,72.942,0.046154,0.090909,0.236649,1.246389
S2_321,1,109.3823,51.2906,0.009063,0.022,1.569855,3.539333
S2_321,2,109.3823,58.0917,0.013733,0.037344,3.195006,3.979364
S2_322,1,107.8232,57.8964,0.013977,0.02583,1.624432,2.758364
S2_322,2,107.8232,49.9268,0.010539,0.030899,0.589846,2.267778
